,message,label_maj
0,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",0
1,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",1
2,Proj had three reviews and it should be good. So see to it .,0
3,Mm you ask him to come its enough :-),0
4,Yes Bhuwan I have raised with them many times and I refuse to take the same,1
5,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",0
6,Big brother聣脹梅s really scraped the barrel with this shower of social misfits,0
7,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1
8,*_NEW COLLECTION OF TRACK SUIT  IN THE STORE_*.鉂も潳馃挍馃挍*BRAND:-  ADIDAS**_STYLE:- MENS TRACK SUIT_*鉂� 2 COLOUR.*SIZE鈫�    M  38  L  40 XL  42   XXL 44**FABRIC :- IMPORTED DOBBY DRY FIT WITH NET INSIDEPRICE  1599 ONLY*FREE SHIPPING*馃憠 *_ORIGINAL TAG ND TRIMS_*馃憠 *_FULLY GUARANTE OF SHOWROOM QUALITY_*鉂MPORTED NOTE:- *_GOODS WILL BE TAKEN BACK IF ANYONE FINDS QUALITY NOT UPTO MARKS_*馃憞馃憞馃憞馃憞*READY TO DISPATCH*,1
9,Apo all other are mokka players only,0
10,We facilitate the session so that the champion can focus on the session,0
11,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1
12,Students please meet me when you come to SRM.,0
13,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1
14,"Under no circumstances, get tempted to use Free Wifi anywhere! Never! Check this video馃憞馃憞",1
15,And do you have any one that can teach me how to ship cars.,0
16,Reg No. :RA1511003010433Name : Hitarth PandeyOption : GRE,0
17,Otherwise had part time job na-tuition..,0
18,maam my E slot hasn't been updated yet,0
19,ma'am my teacher assigned for industrial training is P.Mahalaxmi. but my roll no comes under the schedule photo you just shared. who do I present it to - you or mahalaxmi ma'am?,0
20,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.,1
21,*Motivational Love Story*:He tried to pick her up. He failed.Both silently: joined the gym.馃ぃ馃槀馃槀馃槀馃槀,1
22,Dr S. Babu (102457)Software quality assurance- 15SE422E,0
23,"Students, Shall I assign another final year student to help you out?",0
24,No let me do the math. Your not good at it.,0
25,Your daily text from me 聣脹脪 a favour this time,0
26,WIN a 氓拢200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 氓拢1.50perweeksub.,1
27,"Truthful joke馃槂馃槂馃槂馃槂馃槂An Afghani, upon landing at Islamabad Airport, introduced himself to a Pakistan Immigration Officer, as Ex-Minister of Ports & Shipping of Afghanistan.The surprised Pakistani Officer asked: ""But there is no sea in Afghanistan. How can you be the Ex-Minister of Ports & Shipping.?""The Afghani replied: ""Wallah ya Habibi, don't you have a Minister for Law & Justice in Pakistan.?""馃槣馃槣馃槣馃槂馃槂",1
28,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,0
29,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",1
30,"Zomatos reply...Last night, we came across a video of a delivery executive in a Zomato t-shirt, carrying a Zomato delivery bag, eating food out of boxed orders and replacing each one after resealing them, back into the delivery bag. The video suggests that he consumed some of the food meant for delivery to users, on his way to the drop points.We want our users, restaurant partners and all stakeholders to know that 鈥�1. We take these kinds of reports extremely seriously and upon thorough investigation, we鈥檝e found that the video was shot in Madurai. The person in the video happened to be a delivery partner on our fleet. We have spoken to him at length 鈥� and while we understand that this was a human error in judgement, we have taken him off our platform.2. We would like to iterate that given our multiple communication channels with users, who expect the highest standards from Zomato and highlight the smallest of deviations to us as soon as they receive their orders, this is highly unusual and a rare case.3. Unfortunately, this also highlights a real possibility for tampering with the food on the way to delivery from a restaurant. We take this very seriously and will soon introduce tamper-proof tapes, and other precautionary measures to ensure we add an extra layer of safeguard against such behaviour. Additionally, we will educate our delivery fleet of over 1.5 lakh partners to highlight or escalate any such deviations to us, while also encouraging our users 鈥� the custodians of our platform 鈥� to highlight the smallest of anomalies to us.4. And finally, our delivery partners are the face of our brand, and the heart of our success in growing to become the largest food delivery platform in the country. Our food delivery business has grown immensely over the last year on the back of our large delivery partner fleet that work very hard to ensure that Zomato translates to a high quality food experience. We thank them and the strong support and trust from our restaurant partners, consumers and investors.Zomato maintains a zero tolerance policy for tampering of food. This particular incident, while unfortunate, only makes our commitment to fleet training, scheduling and process even stronger. We stand behind our extensive fleet who do the right thing across many hours of the day.",1
31,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,0
32,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,1
33,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,1
34,Other one nama garden hotel near ek retail,0
35,Fill the form with right token,0
36,"鈥淚t鈥檚 unfortunate that inflated self-worth is being mistaken for confidence when it鈥檚 really an indication of the opposite. True confidence is reflected through humility, vulnerability and kindness. It鈥檚 quiet. It鈥檚 subtle. It does not overwhelm. It does not shrink others down to elevate oneself and it doesn鈥檛 not knock others down to give the illusion of being above.鈥� ",1
37,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",0
38,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,0
39,"2-4 p.m mini-hall II on 13.4.18 , PWC pre-placement,",0
40,Created  Meet for the 19 and in sessions I created one wrong one need to delete I am not able delete might I don't have full access,0
41,"Yes, a deep neural network would outperform Random Forest but our dataset is not big enough for NNs to shine. Also, NNs are susceptible to curse of dimensionality.",0
42,All stud have to be present in tp 1106 every day order 3 at 8.50 am. Please bring one passport size color photo. This is with effect from tomo.,0
43,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,0
44,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",1
45,"Tourism is the next big thing. All countries are attracting their tourists with their taglines: Amazing Thailand, Incredible India, Truly Asia鈥� Syria's tagline might be 鈥� Have a blast, it might be your last!",1
46,Mam will a letter from the Deputy Commissioner or the PRC certificate work?,0
47,COD AVAILABLE 馃槏Brand-AdidasName-Stan Smith 鉂or HIMSize Available-40 To 44 EuroPrice-1499Rs.Shipping FreeWith Adidas Box Pack,1
48,"Ok omw now, you at castor?",0
49,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,1
50,Dear students please send me the details of yr open electives on the fol format for attendance communications,0
51,Also did you remember the partition between your and mine dataset? In graphs too,0
52,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",1
53,"Yeah, don't go to bed, I'll be back before midnight",0
54,";-( oh well, c u later",0
55,Step out of the bed and start hustling to fulfill your dreams.Good morning!,1
56,The notice will also say 17/01/2017,0
57,*UNDER ARMOUR*Dri-fit lowerSurplus store  article100% ORIGNALWith 3 month garanteeSizes M L XL XXLColor- Blue and Black850/- free,1
58,"Ramesh: ""Why did you run away from the operation table?"" Suresh : ""The nurse was repeatedly saying 'don't get nervous', 'don't be afraid', 'be strong', 'this is a small operation only'.."" Ramesh: ""So what was wrong in that? Why are you so afraid?"" Suresh馃槯: ""She was talking to the Doctor !"" ..馃槀馃槀馃槀...馃槃馃槃",1
59,You are a winner you have been specially selected to receive 氓拢1000 cash or a 氓拢2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,1
60,Please Support & Share With Your Know Persons For Gaining Me Startup Fast. Will Be Kind Of You 馃檶馃徎,1
61,Most interestingly people claps after hearing...馃,1
62,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",1
63,I'm down for anything but I prefer evening,0
64,Yesterday news channels were telling that Friday will be a holiday,0
65,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",1
66,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",0
